category,page,text,label
Finance,Portal:Banks,"The human back, also called the dorsum, is the large posterior area of the human body, rising from the top of the buttocks to the back of the neck. It is the surface of the body opposite from the chest and the abdomen. The vertebral column runs the length of the back and creates a central area of recession. The breadth of the back is created by the shoulders at the top and the pelvis at the bottom.
Back pain is a common medical condition, generally benign in origin.",3
Finance,Finance,"Finance is the study of money and assets. It is intertwined but not the same with economics, the study of production, distribution, and consumption of money, assets, goods and services. Finance activities take place in financial systems at various scopes, thus the field can be roughly divided into personal, corporate, and public finance. In a financial system, assets are bought, sold, and traded as financial instruments, such as currencies, loans, bonds, shares, stocks, options, futures, etc. Assets can also be banked, invested, and insured to maximize value and minimize loss. In practice, risks are always present in any financial action and entities.
Many subfields within finance are formed due to its wide scope. Asset, money, risk and investment management aim to maximize value and reduce volatility. Financial analysis is viability, stability, and profitability assessment of an action or entity. In some cases, theories in finance can be tested using the scientific method, covered by experimental finance. Some fields are multidisciplinary, such as mathematical finance, financial law, financial economics, financial engineering and financial technology. These fields are the foundation of business and accounting.
The history of finance may begin with the history of money, which is prehistoric. Ancient and medieval civilizations are known to have done basic finance functions, such as banking, trading, and accounting. Qualitative finance theories were first proposed in the 20th century, starting with Louis Bachelier's thesis. In the late 20th and early 21st century, the global financial system was formed.",3
Finance,Approved Publication Arrangement,"With MiFID II directive being in force in January 2018, Approved Publication Arrangements (APA) data should  increase transparency in the OTC markets by publishing quotes for pre-trade transparency, and trades for post-trade transparency. An APA is an organisation authorised to publish trade reports on behalf of investment firms according to Article (4)(1)(52) MiFID II.In finance, people usually use APA to refer to the data they provide, and not only the organization which provides the data.",3
Finance,Asset,"In financial accounting, an asset is any resource owned or controlled by a business or an economic entity. It is anything (tangible or intangible) that can be used to produce positive economic value. Assets represent value of ownership that can be converted into cash (although cash itself is also considered an asset).
The balance sheet of a firm records the monetary value of the assets owned by that firm. It covers money and other valuables belonging to an individual or to a business.Assets can be grouped into two major classes: tangible assets and intangible assets. Tangible assets contain various subclasses, including current assets and fixed assets. Current assets include cash, inventory, accounts receivable, while fixed assets include land, buildings and equipment.
Intangible assets are non-physical resources and rights that have a value to the firm because they give the firm an advantage in the marketplace. Intangible assets include goodwill, copyrights, trademarks, patents, computer programs, and financial assets, including financial investments, bonds, and stocks.

",3
Finance,Austerity,"Austerity is a set of political-economic policies that aim to reduce government budget deficits through spending cuts, tax increases, or a combination of both. There are three primary types of austerity measures: higher taxes to fund spending, raising taxes while cutting spending, and lower taxes and lower government spending. Austerity measures are often used by governments that find it difficult to borrow or meet their existing obligations to pay back loans. The measures are meant to reduce the budget deficit by bringing government revenues closer to expenditures. Proponents of these measures state that this reduces the amount of borrowing required and may also demonstrate a government's fiscal discipline to creditors and credit rating agencies and make borrowing easier and cheaper as a result.
In most macroeconomic models, austerity policies which reduce government spending lead to increased unemployment in the short term. These reductions in employment usually occur directly in the public sector and indirectly in the private sector. Where austerity policies are enacted using tax increases, these can reduce consumption by cutting household disposable income. Reduced government spending can reduce GDP growth in the short term as government expenditure is itself a component of GDP. In the longer term, reduced government spending can reduce GDP growth if, for example, cuts to education spending leave a country's workforce less able to do high-skilled jobs or if cuts to infrastructure investment impose greater costs on business than they saved through lower taxes. In both cases, if reduced government spending leads to reduced GDP growth, austerity may lead to a higher debt-to-GDP ratio than the alternative of the government running a higher budget deficit. In the aftermath of the Great Recession, austerity measures in many European countries were followed by rising unemployment and slower GDP growth. The result was increased debt-to-GDP ratios despite reductions in budget deficits.Theoretically in some cases, particularly when the output gap is low, austerity can have the opposite effect and stimulate economic growth. For example, when an economy is operating at or near capacity, higher short-term deficit spending (stimulus) can cause interest rates to rise, resulting in a reduction in private investment, which in turn reduces economic growth. Where there is excess capacity, the stimulus can result in an increase in employment and output. Alberto Alesina, Carlo Favero, and Francesco Giavazzi argue that austerity can be expansionary in situations where government reduction in spending is offset by greater increases in aggregate demand (private consumption, private investment, and exports).",3
Finance,Bal Krishen Rathore,"Bal Krishen Rathore is a UAE based businessman, investor and entrepreneur of Indian origin and the Chairman and CEO of Century Financial. He was listed in the top 100 inspiring leaders in the UAE by Arabian Business. He has been granted the Golden Visa by the government of UAE in 2021.

",3
Finance,Capital Markets Union,"The Capital Markets Union (CMU) is an economic policy initiative launched by the former president of the European Commission, Jean-Claude Junker in the initial exposition of his policy agenda on 15 July 2014. The main target was to create a single market for capital in the whole territory of the EU by the end of 2019. The reasoning behind the idea was to address the issue that corporate finance relies on debt (i.e. bank loans) and the fact that capitals markets in Europe were not sufficiently integrated so as to protect the EU and especially the Eurozone from future crisis. The  Five Presidents Report of June 2015 proposed the CMU in order to complement the Banking union of the European Union and eventually finish the Economic and Monetary Union (EMU) project. The CMU is supposed to attract 2000 billion dollars more on the European capital markets, on the long-term.The CMU was considered as the ""New frontier of Europe's single market"" by the Commission aiming at tackling the different problems surrounding capital markets in Europe such as: the reduction of market fragmentation, diversification of financial sources, cross-border capital flows with a special attention for Small and Medium-sized enterprises (SMEs). The project was also seen as the final step for the completion of the Economic and Monetary Union as it was complementary to the Banking union of the European Union that had been the stage for intense legislative activity since its launching in 2012. The CMU project meant centralisation and delegation of powers at the supranational level with the field of macroeconomic governance and banking supervision being the most affected.In order to address the goals and the objectives decided at the creation of the project, an Action Plan subject to a mid-term review was proposed consisting in several priority actions along with legislative proposals to harmonise rules and non-legislative proposals aiming at ensuring good practices between market operators and financial firms.The new European Commission under the leadership of Ursula von der Leyen has committed to take ahead and finalise the project started by its predecessor by working on a new long-term strategy and to address the problems the project has had in recent times following the mid-term review and the UK's exit from the EU. This is also highlighted in her bid for the presidency of the European Commission during the process of election as the main economic motto of her campaign was ""An economy that works for people"".",3
Finance,Decentralized finance,"Decentralized finance (DeFi) offers financial instruments without relying on intermediaries such as brokerages, exchanges, or banks by using smart contracts on a blockchain. DeFi platforms allow people to lend or borrow funds from others, speculate on price movements on assets using derivatives, trade cryptocurrencies, insure against risks, and earn interest in savings-like accounts. DeFi uses a layered architecture and highly composable building blocks. Some applications promote high interest rates but are subject to high risk. As of February 2022, the value of assets used in decentralized finance amounted to $200 billion.

",3
Finance,Designated Professional Body,"According to the  UK Financial Conduct Authority  (FCA), a dedicated professional body is one designated by the Treasury under section 326 of the Act (Designation of professional bodies) for the purposes of the Act (Provision of Financial Services by Members of the Professions).
The following professional bodies have been designated in the Financial Services and Markets Act 2000 (Designated Professional Bodies) Order 2001 (SI 2001/1226), the Financial Services and Markets Act 2000 (Designated Professional Bodies) (Amendment) Order 2004 (SI 2004/3352) and the Financial Services and Markets Act 2000 (Designated Professional Bodies) (Amendment) Order 2006 (SI 2006/58):

The Law Society of England & Wales;
The Law Society of Scotland;
The Law Society of Northern Ireland;
The Institute of Chartered Accountants in England and Wales;
The Institute of Chartered Accountants of Scotland;
The Institute of Chartered Accountants in Ireland;
The Association of Chartered Certified Accountants;
The Institute of Actuaries;
The Council for Licensed Conveyancers; and
The Royal Institution of Chartered Surveyors.Under Section 325(4) of the FSMA, Designated Professional Bodies are required to cooperate with the FCA in a number of ways, including information sharing, in order for the FCA to be able to perform its functions.",3
Finance,DreamAhead College Investment Plan,"DreamAhead College Investment Plan is a higher education savings program administered by the State of Washington. The plan was created in 2016 by the Washington State Legislature, and statutorily known as the Washington College Savings Plan (RCW 28B.95.032), and opened for nationwide participation in 2018. It is one of two 529 programs offered by the state, the other being the Guaranteed Education Tuition Program (known as GET), which is a prepaid program. The programs are supported by Washington College Savings Plans (WA529), a division of Washington Student Achievement Council.",3
